node,index,country,continent,industry,foundation,target_status,bipartite,id,eigen_max,pages_max,degcen_max,bet_max,avg_max,dis_mean
ReaMetrix,219.0,United States,North America,Drug Development,2003.0,Alive / Active,1,92,,,,,,
Abeome,11203.0,United States,North America,Biotechnology,2000.0,Alive / Active,1,119,0.0766419779363418,0.0017502195216958422,0.03685393258426967,0.004197994103648378,68.8048780487805,
ArunA Biomedical,22018.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,121,0.018246168364904572,0.001131360927753549,0.02639915522703273,0.0056175123259955785,82.58666666666667,
InsectiGen,22022.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,124,0.1261715361788525,0.003714127752033912,0.11721224920802535,0.032248947032482364,136.53333333333333,
Biocytogen,22081.0,China,Asia,Biotechnology,2008.0,Alive / Active,1,141,,,,,,
Argolyn Bioscience,17891.0,United States,North America,Biotechnology,2002.0,Alive / Active,1,159,,,,,,
Avancen,22185.0,United States,North America,Medical Devices & Equipment,2009.0,Alive / Active,1,160,0.06352821382792298,0.003384851131783167,0.09186906019007393,0.02475772789766301,81.74137931034483,
Charleston Laboratories,22187.0,United States,North America,Pharmaceuticals / Drugs,2007.0,Alive / Active,1,162,,,,,,
KIYATEC,22189.0,United States,North America,Drug Development,2005.0,Alive / Active,1,163,0.05692636701422608,0.0024557256814416147,0.06410256410256411,0.012180009497807091,94.0,
Lab21,20662.0,United Kingdom,Europe,Medical Devices & Equipment,2006.0,Acquired,1,164,0.048451280844030366,0.002763017910066044,0.07074973600844772,0.01932714763419628,71.97512437810946,
Sabal Medical,11021.0,United States,North America,Healthcare Software,2006.0,Alive / Active,1,172,,,,,,
Mitralign,4020.0,United States,North America,Medical Devices & Equipment,2004.0,Alive / Active,1,173,,,,,,
USGI Medical,1794.0,United States,North America,Medical Devices & Equipment,2001.0,Alive / Active,1,174,0.1265852424311787,0.00463225892180577,0.1252692031586504,0.048221653295237414,78.81914893617021,
Valeritas,1799.0,United States,North America,Drug Delivery,2006.0,Acquired,1,178,,,,,,
Vantage Oncology,1801.0,United States,North America,Medical Facilities & Services,2002.0,Acquired,1,186,,,,,,
Intersect ENT,51295.0,United States,North America,Drug Delivery,2003.0,Acquired,1,194,,,,,,
Synapsin Pharmaceuticals,22316.0,United States,North America,Pharmaceuticals / Drugs,2007.0,Alive / Active,1,200,0.02532957721594719,0.0012787031751540314,0.03338119167264896,0.004229827819571977,79.94623655913979,
INDIGO Biosciences,38835.0,United States,North America,Biotechnology,2004.0,Alive / Active,1,206,0.0595418291357209,0.002182387762533142,0.0630391506303915,0.00838571578423335,92.84810126582279,
AGD Nutrition,22464.0,United States,North America,Drug Manufacturing,2002.0,Acquired,1,227,,,,,,
Almedtrac,22486.0,United States,North America,Healthcare Software,2008.0,Dead / Inactive,1,235,,,,,,
VLST Corporation,1838.0,United States,North America,Biotechnology,2004.0,Assets Purchased,1,239,,,,,,
Arteriocyte,14362.0,United States,North America,Drug Development,2007.0,Merged,1,249,,,,,,
Asterand Bioscience,4980.0,United States,North America,Drug Discovery,2000.0,Acquired,1,254,0.0003979722488088279,0.00026994049239056537,0.0022471910112359553,0.0,11.4,
BioProtection Systems,22583.0,United States,North America,Biotechnology,2005.0,Alive / Active,1,282,,,,,,
Comprehend Systems,61447.0,United States,North America,Internet Software & Services,2010.0,Acquired,1,287,0.04929713175049618,0.002372275250670853,0.06389088298636038,0.010034882142101487,109.07317073170731,
Cellular Dynamics International,22642.0,United States,North America,Drug Development,2004.0,Acquired,1,297,0.0025014594500615468,0.0004419859555507462,0.00574300071787509,0.00195886066053542,45.9375,
Clearflow,22656.0,United States,North America,Medical Devices & Equipment,2007.0,Alive / Active,1,305,,,,,,
CleveX,10866.0,United States,North America,Medical Devices & Equipment,2003.0,Alive / Active,1,308,,,,,,
Alimera Sciences,15963.0,United States,North America,Pharmaceuticals / Drugs,2003.0,IPO / Went public,1,314,0.05968521592651065,0.002697252578084884,0.07369123041013671,0.018952906183720624,90.88181818181818,
Cambridge Temperature Concepts,18761.0,United Kingdom,Europe,Medical Devices & Equipment,2005.0,Alive / Active,1,329,0.12519624598643078,0.00430626628731722,0.11787749287749287,0.047910516952713665,88.29629629629629,
DiscoveryBioMed,22731.0,United States,North America,Drug Discovery,2007.0,Alive / Active,1,332,,,,,,
Asensus Surgical,28451.0,United States,North America,Medical Devices & Equipment,2006.0,IPO / Went public,1,340,,,,,,
ArtusLabs,14217.0,United States,North America,Drug Discovery,2007.0,Acquired,1,341,,,,,,
BioRegen,86093.0,China,Asia,Medical Devices & Equipment,2008.0,Alive / Active,1,347,,,,,,
Suneva Medical,28763.0,United States,North America,Drug Manufacturing,2009.0,Alive / Active,1,350,,,,,,
Endotronix,22776.0,United States,North America,Medical Devices & Equipment,2007.0,Alive / Active,1,354,0.06558984849079781,0.0017488405267946795,0.03967935871743487,0.006090947033503089,64.8989898989899,
FluGen,22817.0,United States,North America,Drug Development,2007.0,Alive / Active,1,371,,,,,,
Adamas Pharmaceuticals,27421.0,United States,North America,Pharmaceuticals / Drugs,2002.0,IPO / Went public,1,387,,,,,,
ReCor Medical,86606.0,United States,North America,Medical Devices & Equipment,2009.0,Acquired,1,398,,,,,,
Immunomic Therapeutics,22928.0,United States,North America,Pharmaceuticals / Drugs,2005.0,Alive / Active,1,413,0.06452820852782926,0.0021404934238238504,0.06089405139035551,0.013784737184657309,136.53333333333333,
ImmunoReagents,22929.0,United States,North America,Pharmaceuticals / Drugs,2005.0,Alive / Active,1,414,,,,,,
Integral Molecular,982.0,United States,North America,Pharmaceuticals / Drugs,2001.0,Alive / Active,1,419,,,,,,
Molecular Partners,17981.0,Switzerland,Europe,Biotechnology,2004.0,IPO / Went public,1,436,,,,,,
MOgene LC,23065.0,United States,North America,Biotechnology,2004.0,Alive / Active,1,466,,,,,,
Novozymes,23126.0,Denmark,Europe,Biotechnology,2000.0,IPO / Went public,1,487,,,,,,
Immatics Biotechnologies,28498.0,Germany,Europe,Drug Discovery,2000.0,IPO / Went public,1,490,,,,,,
Sonoma Orthopedic Products,1973.0,United States,North America,Medical Devices & Equipment,2002.0,Acquired,1,496,0.005496031051955072,0.0011106550235357325,0.016511127063890886,0.00831426715622562,76.7,
Orexigen Therapeutics,1982.0,United States,North America,Biotechnology,2002.0,Assets Purchased,1,524,,,,,,
SenesTech,23314.0,United States,North America,Biotechnology,2002.0,IPO / Went public,1,552,,,,,,
SFC Fluidics,23320.0,United States,North America,Medical Devices & Equipment,2003.0,Alive / Active,1,555,,,,,,
Archemix,2005.0,United States,North America,Drug Discovery,2000.0,Assets Purchased,1,561,,,,,,
SpineMatrix,20818.0,United States,North America,Medical Devices & Equipment,2003.0,Alive / Active,1,565,,,,,,
Noveome Biotherapeutics,23358.0,United States,North America,Biotechnology,2000.0,Alive / Active,1,569,0.007034525693544714,0.0005318629024507632,0.010683760683760684,0.002067870010639237,64.26666666666667,
TNI medical,23423.0,Germany,Europe,Medical Devices & Equipment,2007.0,Acquired,1,587,,,,,,
Transposagen Biopharmaceuticals,23430.0,United States,North America,Drug Discovery,2003.0,Alive / Active,1,589,,,,,,
Valencell,23449.0,United States,North America,Mobile Software & Services,2006.0,Alive / Active,1,594,0.12175722432176235,0.00430471941993626,0.12570856952317438,0.04609814069369341,83.25698324022346,
VIDA Diagnostics,23459.0,United States,North America,Healthcare Software,2004.0,Alive / Active,1,603,0.046966765926380036,0.0016981538948790144,0.042713567839195984,0.007016120718418847,92.87,
BIOARRAY Genetics,90022.0,United States,North America,Disease Diagnosis,2009.0,Alive / Active,1,607,,,,,,
GNS Healthcare,76311.0,United States,North America,Internet Software & Services,2000.0,Alive / Active,1,614,,,,,,
Zystor Therapeutics,10937.0,United States,North America,Biotechnology,2004.0,Acquired,1,617,,,,,,
Anaeropharma Science,23542.0,Japan,Asia,Drug Discovery,2004.0,Alive / Active,1,622,,,,,,
CoMentis,4295.0,United States,North America,Drug Development,2004.0,Dead / Inactive,1,626,,,,,,
Radius Health,2044.0,United States,North America,Drug Development,2003.0,IPO / Went public,1,628,,,,,,
SurgRx,2058.0,United States,North America,Medical Devices & Equipment,2001.0,Acquired,1,632,0.10161619367956172,0.0032990329108894788,0.09869956652217406,0.029136935410065318,88.13245033112581,
ISA Pharmaceuticals,24445.0,Netherlands,Europe,Pharmaceuticals / Drugs,2004.0,Alive / Active,1,650,,,,,,
BioSeek,18680.0,United States,North America,Drug Discovery,2000.0,Acquired,1,661,0.06385903009208567,0.002840718153249285,0.07567757831749382,0.02547188963026913,115.53125,
Binx Health,18591.0,United States,North America,Medical Devices & Equipment,2005.0,Alive / Active,1,664,0.023612067916913712,0.0017416304989701524,0.0419956927494616,0.006877987010198686,89.15,
AVEO Oncology,2084.0,United States,North America,Pharmaceuticals / Drugs,2001.0,IPO / Went public,1,665,,,,,,
CryoPen,23826.0,United States,North America,Medical Devices & Equipment,2005.0,Alive / Active,1,685,,,,,,
f-star Biotechnology,16630.0,Austria,Europe,Drug Development,2006.0,IPO / Went public,1,686,0.1421008229604741,0.00456443989023597,0.09887640449438202,0.03211574486090163,76.82,
Orphazyme,92556.0,Denmark,Europe,Drug Development,2009.0,IPO / Went public,1,688,0.005187941905167612,0.0005213900501960926,0.010050251256281407,0.001219360979337653,63.07142857142857,
NeurAxon,16235.0,Canada,North America,Pharmaceuticals / Drugs,2004.0,Alive / Active,1,699,,,,,,
Codon Devices,2106.0,United States,North America,Drug Development,2004.0,Dead / Inactive,1,701,0.10908670978756307,0.00430471941993626,0.12570856952317438,0.04609814069369341,88.13245033112581,
Efficas,19103.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,703,0.011802923706711457,0.0005629831074729535,0.011844938980617371,0.0016603945563269831,94.66666666666669,
Spartan Bioscience,77703.0,Canada,North America,Biotechnology,2005.0,Alive / Active,1,718,,,,,,
GluMetrics,19392.0,United States,North America,Medical Devices & Equipment,2005.0,Dead / Inactive,1,727,,,,,,
Bone Therapeutics,85848.0,Belgium,Europe,Biotechnology,2006.0,IPO / Went public,1,730,0.0683495611223819,0.0017447409630876821,0.035955056179775284,0.005507784409325821,63.7875,
Vexim,21141.0,France,Europe,Medical Devices & Equipment,2006.0,Acquired,1,739,,,,,,
IDev Technologies,14330.0,United States,North America,Medical Devices & Equipment,2006.0,Acquired,1,740,0.10161619367956172,0.0032990329108894788,0.09869956652217406,0.029136935410065318,89.85526315789473,
Nanobiotix,5511.0,France,Europe,Pharmaceuticals / Drugs,2003.0,IPO / Went public,1,741,,,,,,
Intelligent Bio-Systems,19633.0,United States,North America,Drug Development,2005.0,Acquired,1,744,0.028857474312787568,0.0009210865449904839,0.01843687374749499,0.002866237389951815,65.06521739130434,
Lumavita,17401.0,Switzerland,Europe,Pharmaceuticals / Drugs,2008.0,Alive / Active,1,745,,,,,,
Opexa Therapeutics,24182.0,United States,North America,Biotechnology,2003.0,IPO / Went public,1,777,,,,,,
ProteoGenix,11246.0,United States,North America,Medical Devices & Equipment,2002.0,Alive / Active,1,790,,,,,,
Pharmaca Integrative Pharmacy,2184.0,United States,North America,Pharmaceutical Distribution & Wholesale…,2000.0,Acquired,1,804,,,,,,
TeraMedica,24346.0,United States,North America,Internet Software & Services,2001.0,Acquired,1,809,,,,,,
Vidacare,13643.0,United States,North America,Medical Devices & Equipment,2001.0,Acquired,1,824,0.10192370068407472,0.003469985614402355,0.06741573033707865,0.02456583787882382,72.85185185185185,
InteRNA Technologies,24449.0,Netherlands,Europe,Biotechnology,2006.0,Alive / Active,1,846,0.004741083120434685,0.00030604912914084057,0.006054131054131055,0.0004739088519576346,80.29411764705883,
Nanomed Pharmaceuticals,5542.0,United States,North America,Pharmaceuticals / Drugs,2000.0,Acquired,1,850,,,,,,
AcuFocus,18434.0,United States,North America,Medical Devices & Equipment,2001.0,Alive / Active,1,851,0.1151161118278992,0.00463225892180577,0.1252692031586504,0.048221653295237414,80.2470588235294,
Iconic Therapeutics,12573.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,858,0.07761996377532901,0.002872267155901271,0.05438225976768743,0.02258880159498269,64.0,
Accord BioMaterials,14185.0,United States,North America,Medical Devices & Equipment,2008.0,Alive / Active,1,860,,,,,,
HandyLab,5335.0,United States,North America,Medical Devices & Equipment,2000.0,Acquired,1,861,,,,,,
AxioMed,5781.0,United States,North America,Medical Devices & Equipment,2001.0,Alive / Active,1,874,0.05968521592651065,0.002697252578084884,0.07369123041013671,0.018952906183720624,89.85526315789473,
RhinoCyte,20583.0,United States,North America,Biotechnology,2005.0,Alive / Active,1,886,,,,,,
Critical Signal Technologies,18956.0,United States,North America,Medical Devices & Equipment,2006.0,Acquired,1,892,0.005964029444149265,0.000653553060193541,0.007638252367858234,0.005241515815289856,27.24,
Alder BioPharmaceuticals,17851.0,United States,North America,Biotechnology,2004.0,Acquired,1,893,,,,,,
Logical Therapeutics,5443.0,United States,North America,Biotechnology,2005.0,Alive / Active,1,895,,,,,,
Intuity Medical,5920.0,United States,North America,Medical Devices & Equipment,2002.0,Alive / Active,1,902,,,,,,
NapaJen Pharma,99926.0,United States,North America,Drug Delivery,2004.0,Alive / Active,1,917,0.10192370068407472,0.003469985614402355,0.06741573033707865,0.02456583787882382,56.39583333333334,
PhysioSonics,24838.0,United States,North America,Medical Devices & Equipment,2000.0,Dead / Inactive,1,927,,,,,,
Arecor,12627.0,United Kingdom,Europe,Drug Discovery,2007.0,Alive / Active,1,930,,,,,,
Crown Bioscience International,11078.0,United States,North America,Medical Facilities & Services,2006.0,Acquired,1,943,,,,,,
arstasis,25021.0,United States,North America,Medical Devices & Equipment,2004.0,Dead / Inactive,1,957,0.05860150181751082,0.003016528961592874,0.0690883190883191,0.02718646389055553,90.01492537313433,
Ancora Pharmaceuticals,18534.0,United States,North America,Pharmaceuticals / Drugs,2001.0,Alive / Active,1,959,4.206043415903892e-29,0.000498615810534192,0.0014079549454417456,2.354854222129681e-06,4.25,
OpGen,2452.0,United States,North America,Biotechnology,2001.0,IPO / Went public,1,965,,,,,,
TolerRx,6103.0,United States,North America,Pharmaceuticals / Drugs,2000.0,Dead / Inactive,1,971,,,,,,
Afferent,18465.0,United States,North America,Medical Devices & Equipment,2000.0,Alive / Active,1,972,,,,,,
Niadyne,25194.0,United States,North America,Elective & Aesthetic Medicine,2007.0,Alive / Active,1,986,,,,,,
Achaogen,12538.0,United States,North America,Biotechnology,2004.0,Dead / Inactive,1,998,,,,,,
RedBrick Health,2497.0,United States,North America,Internet Software & Services,2006.0,Merged,1,999,,,,,,
Celecure,18797.0,Estonia,Europe,Drug Discovery,2002.0,Alive / Active,1,1004,0.012311567917446687,0.0007668136965685928,0.017247448081661388,0.002658412005703709,88.83673469387755,
Affymax,312.0,United States,North America,Biotechnology,2001.0,Alive / Active,1,1005,0.04552071197083852,0.002070732084530077,0.052706552706552716,0.009276579770123337,74.35810810810811,
EGeen International,19105.0,United States,North America,Biotechnology,2001.0,Alive / Active,1,1006,0.19792332457839476,0.005888831804720554,0.12090813093980993,0.0531503954659115,49.468354430379755,
Tethys Bioscience,2541.0,United States,North America,Disease Diagnosis,2002.0,Dead / Inactive,1,1010,,,,,,
Affinium Pharmaceuticals,313.0,Canada,North America,Drug Development,2000.0,Alive / Active,1,1011,0.0031387080854956353,0.0002162416776394124,0.002404809619238477,2.7035959177828602e-05,58.16666666666666,
Nucleix,185200.0,Israel,Asia,Disease Diagnosis,2008.0,Alive / Active,1,1012,0.05860150181751082,0.003016528961592874,0.0690883190883191,0.02718646389055553,94.85714285714286,
Dune Medical Devices,10518.0,United States,North America,Medical Devices & Equipment,2002.0,Acquired,1,1013,0.018196519510188858,0.0009473171896765023,0.02434144714904968,0.002426002875640611,85.58904109589041,
AccessClosure,15928.0,United States,North America,Medical Devices & Equipment,2002.0,Acquired,1,1016,,,,,,
Metabolon,10287.0,United States,North America,Biotechnology,2000.0,Alive / Active,1,1020,,,,,,
Xlumena,16733.0,United States,North America,Medical Devices & Equipment,2007.0,Acquired,1,1021,,,,,,
NovaMin Technology,10900.0,United States,North America,Dental Products & Services,2004.0,Alive / Active,1,1031,,,,,,
Blue Medical Supply,25692.0,United States,North America,Medical Facilities & Services,2004.0,Alive / Active,1,1033,0.040424363548088864,0.0012802086632881533,0.03534511503834612,0.003961506704463716,105.56989247311829,
Synthematix,25785.0,United States,North America,Medical Facilities & Services,2000.0,Acquired,1,1047,,,,,,
Metastatix,10913.0,United States,North America,Pharmaceuticals / Drugs,2005.0,Alive / Active,1,1048,0.10412364534026086,0.003195152870688627,0.08760683760683761,0.028660400021301113,100.93333333333334,
Qualyst Transporter Solutions,25788.0,United States,North America,Biotechnology,2002.0,Acquired,1,1049,0.14448579948652962,0.004002990802831692,0.08449438202247192,0.030899638094215736,72.85185185185185,
TheraQuest Biosciences,20975.0,United States,North America,Pharmaceuticals / Drugs,2000.0,Alive / Active,1,1072,,,,,,
ChimeraCore,18831.0,United States,North America,Pharmaceuticals / Drugs,2004.0,Alive / Active,1,1086,0.021666342752679143,0.0005643641403979205,0.015005001667222406,0.0017958024151301108,115.73333333333332,
Biopta,26032.0,United Kingdom,Europe,Medical Facilities & Services,2002.0,Merged,1,1087,,,,,,
Interventional Spine,19654.0,United States,North America,Medical Devices & Equipment,2000.0,Alive / Active,1,1097,,,,,,
Biosensia,12663.0,Ireland,Europe,Medical Devices & Equipment,2009.0,Acquired,1,1099,0.10161619367956172,0.0032990329108894788,0.09869956652217406,0.029136935410065318,86.0777027027027,
BrainScope,26167.0,United States,North America,Medical Devices & Equipment,2006.0,Alive / Active,1,1102,1.3415057306725912e-37,0.00035599857600569594,0.0010683760683760683,0.0,3.0,
Alexza Pharmaceuticals,340.0,United States,North America,Pharmaceuticals / Drugs,2000.0,Acquired,1,1112,,,,,,
ArraVasc,24852.0,Ireland,Europe,Medical Devices & Equipment,2004.0,Dead / Inactive,1,1115,0.03629279903266122,0.0009470726455217971,0.017977528089887642,0.0020882592735750947,66.975,
ViewRay,15711.0,United States,North America,Medical Devices & Equipment,2004.0,IPO / Went public,1,1126,,,,,,
Epitomee Medical,21062.0,Israel,Asia,Medical Devices & Equipment,2005.0,Alive / Active,1,1144,0.01470747116332735,0.0009327717072329764,0.023583245336149243,0.0016923292009381012,102.47368421052632,
GetWellNetwork,16633.0,United States,North America,Mobile Software & Services,2000.0,Alive / Active,1,1150,0.05860150181751082,0.003016528961592874,0.0690883190883191,0.02718646389055553,66.10824742268039,
CS-Keys,10974.0,United States,North America,Medical Devices & Equipment,2006.0,Alive / Active,1,1154,0.06545164214989645,0.002543572136720081,0.07269089696565521,0.021414814051093373,91.41095890410959,
BioLucent,26582.0,United States,North America,Medical Devices & Equipment,2001.0,Acquired,1,1163,0.06545164214989645,0.002543572136720081,0.07269089696565521,0.021414814051093373,83.91743119266054,
Celerus Diagnostics,15531.0,United States,North America,Medical Devices & Equipment,2004.0,Alive / Active,1,1182,,,,,,
AM-Pharma,17853.0,Netherlands,Europe,Biotechnology,2001.0,Alive / Active,1,1190,0.06385903009208567,0.002840718153249285,0.07567757831749382,0.02547188963026913,75.62325581395349,
Oxford Biosensors,228695.0,United Kingdom,Europe,Medical Devices & Equipment,2000.0,Alive / Active,1,1201,,,,,,
Sikka Software,228729.0,United States,North America,Internet Software & Services,2004.0,Alive / Active,1,1202,0.0012937570121285802,0.00019336617704321642,0.0032304379038047377,0.0,66.77777777777777,
Mirada Medical,114921.0,United Kingdom,Europe,Healthcare Software,2000.0,Alive / Active,1,1204,,,,,,
Enclarity,742.0,United States,North America,Healthcare Software,2005.0,Acquired,1,1211,,,,,,
HemoShear Therapeutics,21362.0,United States,North America,Drug Discovery,2008.0,Alive / Active,1,1218,,,,,,
Acucela,17871.0,United States,North America,Drug Discovery,2002.0,Alive / Active,1,1228,0.019718888267196456,0.0010847503344089536,0.03034344781593865,0.002422240215757169,95.62121212121212,
Perseus Proteomics,26965.0,Japan,Asia,Pharmaceuticals / Drugs,2001.0,IPO / Went public,1,1237,,,,,,
BrainCells,3830.0,United States,North America,Biotechnology,2003.0,Alive / Active,1,1260,0.01470747116332735,0.0009327717072329764,0.023583245336149243,0.0016923292009381012,102.47368421052632,
WuXi AppTec,27099.0,China,Asia,Medical Devices & Equipment,2000.0,IPO / Went public,1,1267,,,,,,
Take Care Health Systems,27169.0,United States,North America,Medical Facilities & Services,2000.0,Acquired,1,1279,0.07157286709758776,0.003715225581398439,0.09727207465900932,0.02801461377817265,103.0,
Erydel,27179.0,Italy,Europe,Drug Delivery,2007.0,Alive / Active,1,1285,,,,,,
Corventis,3862.0,United States,North America,Mobile Software & Services,2005.0,Acquired,1,1293,0.05968521592651065,0.002697252578084884,0.07369123041013671,0.018952906183720624,80.82805429864253,
Quanticel Pharmaceuticals,231756.0,United States,North America,Biotechnology,2009.0,Acquired,1,1300,,,,,,
Bioabsorbable Therapeutics,27296.0,United States,North America,Medical Devices & Equipment,2004.0,Acquired,1,1304,0.022639150720783825,0.0015392741944002214,0.03801478352692714,0.007690847539628548,69.9074074074074,
Setagon,27298.0,United States,North America,Drug Delivery,2000.0,Acquired,1,1306,,,,,,
IntegraGen,19624.0,France,Europe,Disease Diagnosis,2000.0,Acquired,1,1308,0.0595418291357209,0.002182387762533142,0.0630391506303915,0.00838571578423335,84.51052631578948,
Novagali Pharma,27323.0,France,Europe,Biotechnology,2000.0,Acquired,1,1310,,,,,,
TxCell,18056.0,France,Europe,Pharmaceuticals / Drugs,2001.0,Alive / Active,1,1311,,,,,,
Dynogen Pharmaceuticals,3883.0,United States,North America,Biotechnology,2002.0,Alive / Active,1,1314,0.12519624598643078,0.00430626628731722,0.11787749287749287,0.047910516952713665,261.0,
Upstream Rehabilitation,27341.0,United States,North America,Medical Facilities & Services,2004.0,Alive / Active,1,1318,,,,,,
Horizon Therapeutics,85120.0,Ireland,Europe,Drug Development,2005.0,IPO / Went public,1,1333,,,,,,
ClearCount Medical Solutions,586.0,United States,North America,Medical Devices & Equipment,2004.0,Acquired,1,1336,,,,,,
Diffusion Pharmaceuticals,18155.0,United States,North America,Drug Development,2001.0,IPO / Went public,1,1339,0.15564859320700933,0.004210492764128224,0.0997995991983968,0.039489908108276114,63.534246575342465,
Benvenue Medical,5785.0,United States,North America,Medical Devices & Equipment,2004.0,Acquired,1,1344,0.04857249141317211,0.002053185859230545,0.053481694185211766,0.010347319362356722,91.4,
ARCA Biopharma,380.0,United States,North America,Pharmaceuticals / Drugs,2005.0,IPO / Went public,1,1348,,,,,,
Catalyst Biosciences,537.0,United States,North America,Biotechnology,2003.0,Merged,1,1365,0.03701802870882928,0.0016561181551368724,0.04202279202279202,0.006174067173847378,77.42372881355931,
OncImmune,226945.0,United Kingdom,Europe,Biotechnology,2006.0,IPO / Went public,1,1401,,,,,,
biosurfit,239945.0,Portugal,Europe,Medical Devices & Equipment,2006.0,Alive / Active,1,1402,0.0009387245475338836,0.0004951542369265082,0.006101938262742283,0.0028682443898825323,23.882352941176467,
Enlivex Therapeutics,85634.0,Israel,Asia,Drug Development,2005.0,Alive / Active,1,1412,1.3107713336483925e-05,0.0002717078248232941,0.0009319664492078283,0.0011101734168106516,8.666666666666666,
Medic Vision,61501.0,Israel,Asia,Medical Devices & Equipment,2006.0,Alive / Active,1,1420,0.05968521592651065,0.002697252578084884,0.07369123041013671,0.018952906183720624,80.82805429864253,
EndoSpan,187028.0,Israel,Asia,Medical Devices & Equipment,2009.0,Alive / Active,1,1422,9.685502574921966e-31,0.00035186488388458837,0.001055966209081309,0.0,3.0,
Leviticus Cardio,231157.0,Israel,Asia,Medical Devices & Equipment,2008.0,Alive / Active,1,1438,,,,,,
EarlySense,14403.0,Israel,Asia,Medical Devices & Equipment,2004.0,Alive / Active,1,1450,,,,,,
Thermalin,27880.0,United States,North America,Drug Development,2010.0,Alive / Active,1,1464,0.05833908814629686,0.0028207242020799037,0.07214644651830583,0.019327624813748084,72.69154228855722,
BioFactura,245220.0,United States,North America,Drug Development,2003.0,Alive / Active,1,1478,0.051699256238238026,0.0018214869563800442,0.032644903397734834,0.004200999932649325,41.0,
AzarGen Biotechnologies,246542.0,South Africa,Africa,Biotechnology,2003.0,Alive / Active,1,1499,0.0005298851237411996,6.446805741028885e-05,0.00035198873636043646,0.0,201.0,
Spaltudaq,4616.0,United States,North America,Biotechnology,2004.0,Alive / Active,1,1500,,,,,,
Satiety,4651.0,United States,North America,Medical Devices & Equipment,2000.0,Alive / Active,1,1503,,,,,,
QuatRx Pharmaceuticals,4732.0,United States,North America,Pharmaceuticals / Drugs,2000.0,Alive / Active,1,1505,0.07856821534738997,0.001953745085458231,0.043687374749499,0.006261370533264762,109.0,
Innara Health,11118.0,United States,North America,Medical Devices & Equipment,2006.0,Alive / Active,1,1523,0.01036853831660117,0.0005267947875647255,0.005807814149947201,0.002993431925759509,51.90909090909091,
Smile Brands,251097.0,United States,North America,Dental Products & Services,2005.0,Alive / Active,1,1526,,,,,,
Avera Pharmaceuticals,424.0,United States,North America,Biotechnology,2002.0,Dead / Inactive,1,1529,,,,,,
